20:38:55.865 [main] INFO  com.demo.baseutil.Basetest - 
20:38:55.875 [main] INFO  com.demo.baseutil.Basetest - Running locally JavaMail
20:38:55.991 [main] INFO  com.demo.baseutil.Basetest2 - Folder creation for Extent
20:38:55.999 [main] INFO  com.demo.baseutil.Basetest - ExtentDir:-C:\Users\Deepti Jindal\eclipse-workspace2\com.NFR.Trace QA latest/reports/Automation Report- 10_24_2024_20_38_55/Report/10_24_2024_20_38_55
20:38:56.115 [main] INFO  com.demo.baseutil.Basetest - Report Initiated
20:38:56.117 [main] INFO  com.demo.baseutil.Basetest - Screenshot folder created
20:39:14.453 [main] INFO  com.demo.baseutil.Basetest - Validate Sign in with FarmtoPlate account is clickable
20:39:16.923 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Sign in with FarmtoPlate account
20:39:16.957 [main] INFO  com.demo.baseutil.Basetest - Url contains farmtoplateapps.io/login
20:39:16.969 [main] INFO  com.demo.baseutil.Basetest - Sign in title matched
20:39:16.969 [main] INFO  com.demo.baseutil.Basetest - UI verified for Sigin page.
20:39:16.969 [main] INFO  com.demo.baseutil.Basetest - Sign in function call
20:39:16.969 [main] INFO  com.demo.baseutil.Basetest - Validate email address field is clicked is clickable
20:39:19.661 [main] INFO  com.demo.baseutil.Basetest - Clicked on : email address field is clicked
20:39:19.661 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Email Id Entered
20:39:20.088 [main] INFO  com.demo.baseutil.Basetest - 139@yopmail.com typed into Email Id Entered
20:39:20.089 [main] INFO  com.demo.baseutil.Basetest - Validate Enter the password is clickable
20:39:22.433 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Enter the password
20:39:22.434 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Password Id Entered
20:39:22.787 [main] INFO  com.demo.baseutil.Basetest - Admin@1234 typed into Password Id Entered
20:39:26.866 [main] INFO  com.demo.baseutil.Basetest - Scroll down
20:39:26.866 [main] INFO  com.demo.baseutil.Basetest - Validate Press the signin button is clickable
20:39:30.716 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Press the signin button
20:39:32.721 [main] INFO  com.demo.baseutil.Basetest - HomePage title  is matched
20:39:42.742 [main] INFO  com.demo.baseutil.Basetest - Validate click on trace is clickable
20:39:45.263 [main] INFO  com.demo.baseutil.Basetest - Clicked on : click on trace
20:39:53.325 [main] INFO  com.demo.baseutil.Basetest - Scroll down
20:39:55.326 [main] INFO  com.demo.baseutil.Basetest - Validate Products is clicked is clickable
20:39:58.084 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Products is clicked
20:40:03.086 [main] INFO  com.demo.baseutil.Basetest - Validate Add new is clicked is clickable
20:40:05.803 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Add new is clicked
20:40:07.815 [main] INFO  com.demo.baseutil.Basetest - Validate Click on productcategory is clickable
20:40:10.998 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on productcategory
20:40:10.998 [main] INFO  com.demo.baseutil.Basetest - Validate productbasedfood is clicked is clickable
20:40:13.645 [main] INFO  com.demo.baseutil.Basetest - Clicked on : productbasedfood is clicked
20:40:13.645 [main] INFO  com.demo.baseutil.Basetest - Validate product name is selected is clickable
20:40:16.062 [main] INFO  com.demo.baseutil.Basetest - Clicked on : product name is selected
20:40:16.062 [main] INFO  com.demo.baseutil.Basetest - Enter the value into enter the product
20:40:16.705 [main] INFO  com.demo.baseutil.Basetest - wheat105704807608534662 typed into enter the product
20:40:16.706 [main] INFO  com.demo.baseutil.Basetest - Validate Click on productid is clickable
20:40:19.311 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on productid
20:40:19.311 [main] INFO  com.demo.baseutil.Basetest - Validate Click on checkbox is clickable
20:40:21.740 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on checkbox
20:40:21.740 [main] INFO  com.demo.baseutil.Basetest - Validate Click on autogenerate is clickable
20:40:24.535 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on autogenerate
20:40:24.535 [main] INFO  com.demo.baseutil.Basetest - Validate Click on productdesc is clickable
20:40:26.895 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on productdesc
20:40:26.895 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Enetered the product desc
20:40:27.193 [main] INFO  com.demo.baseutil.Basetest - test typed into Enetered the product desc
20:40:27.193 [main] INFO  com.demo.baseutil.Basetest - Validate Click on upload is clickable
20:40:29.725 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Click on upload
20:40:40.357 [main] INFO  com.demo.baseutil.Basetest - Scroll down
20:40:40.357 [main] INFO  com.demo.baseutil.Basetest - Validate Click on ingrediant name is clickable
20:41:21.922 [main] ERROR com.demo.baseutil.Basetest - Click on ingrediant name is not clickable
20:41:21.937 [main] ERROR com.demo.baseutil.Basetest - Unable to click on Click on ingrediant name
