16:28:58.955 [main] INFO  com.demo.baseutil.Basetest - 
16:28:58.961 [main] INFO  com.demo.baseutil.Basetest - Running locally JavaMail
16:28:59.061 [main] INFO  com.demo.baseutil.Basetest2 - Folder creation for Extent
16:28:59.068 [main] INFO  com.demo.baseutil.Basetest - ExtentDir:-C:\Users\Deepti Jindal\eclipse-workspace\com.NFR.Trace/reports/Automation Report- 04_05_2024_16_28_59/Report/04_05_2024_16_28_59
16:28:59.167 [main] INFO  com.demo.baseutil.Basetest - Report Initiated
16:28:59.168 [main] INFO  com.demo.baseutil.Basetest - Screenshot folder created
16:29:12.960 [main] INFO  com.demo.baseutil.Basetest - Validate Sign in with FarmtoPlate account is clickable
16:29:15.269 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Sign in with FarmtoPlate account
16:29:15.282 [main] INFO  com.demo.baseutil.Basetest - Url contains farmtoplateapps.io/login
16:29:15.291 [main] INFO  com.demo.baseutil.Basetest - Sign in title matched
16:29:15.291 [main] INFO  com.demo.baseutil.Basetest - UI verified for Sigin page.
16:29:15.291 [main] INFO  com.demo.baseutil.Basetest - Sign in function call
16:29:15.291 [main] INFO  com.demo.baseutil.Basetest - Validate email address field is clicked is clickable
16:29:17.600 [main] INFO  com.demo.baseutil.Basetest - Clicked on : email address field is clicked
16:29:17.601 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Email Id Entered
16:29:17.920 [main] INFO  com.demo.baseutil.Basetest - farmtoplatef2p@paramountsoft.net typed into Email Id Entered
16:29:17.921 [main] INFO  com.demo.baseutil.Basetest - Validate Enter the password is clickable
16:29:20.273 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Enter the password
16:29:20.273 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Password Id Entered
16:29:20.496 [main] INFO  com.demo.baseutil.Basetest - Admin1234 typed into Password Id Entered
16:29:20.517 [main] INFO  com.demo.baseutil.Basetest - Scroll down
16:29:20.517 [main] INFO  com.demo.baseutil.Basetest - Validate Press the signin button is clickable
16:29:23.360 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Press the signin button
16:29:31.370 [main] INFO  com.demo.baseutil.Basetest - HomePage title  is matched
16:29:44.399 [main] INFO  com.demo.baseutil.Basetest - Validate Network Management is clicked is clickable
16:29:46.838 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Network Management is clicked
16:29:48.844 [main] INFO  com.demo.baseutil.Basetest - Validate Add new is clicked is clickable
16:29:51.291 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Add new is clicked
16:29:53.307 [main] INFO  com.demo.baseutil.Basetest - Validate Organisation Name is clicked is clickable
