19:20:59.549 [main] INFO  com.demo.baseutil.Basetest - 
19:20:59.556 [main] INFO  com.demo.baseutil.Basetest - Running locally JavaMail
19:20:59.671 [main] INFO  com.demo.baseutil.Basetest2 - Folder creation for Extent
19:20:59.679 [main] INFO  com.demo.baseutil.Basetest - ExtentDir:-C:\Users\Deepti Jindal\eclipse-workspace2\com.NFR.Trace/reports/Automation Report- 08_13_2024_19_20_59/Report/08_13_2024_19_20_59
19:20:59.804 [main] INFO  com.demo.baseutil.Basetest - Report Initiated
19:20:59.806 [main] INFO  com.demo.baseutil.Basetest - Screenshot folder created
19:21:12.817 [main] INFO  com.demo.baseutil.Basetest - Validate Sign in with FarmtoPlate account is clickable
19:21:15.282 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Sign in with FarmtoPlate account
19:21:15.296 [main] INFO  com.demo.baseutil.Basetest - Url contains farmtoplateapps.io/login
19:21:15.309 [main] INFO  com.demo.baseutil.Basetest - Sign in title matched
19:21:15.309 [main] INFO  com.demo.baseutil.Basetest - UI verified for Sigin page.
19:21:15.309 [main] INFO  com.demo.baseutil.Basetest - Sign in function call
19:21:15.309 [main] INFO  com.demo.baseutil.Basetest - Validate email address field is clicked is clickable
19:21:17.698 [main] INFO  com.demo.baseutil.Basetest - Clicked on : email address field is clicked
19:21:17.698 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Email Id Entered
19:21:18.084 [main] INFO  com.demo.baseutil.Basetest - 139@yopmail.com typed into Email Id Entered
19:21:18.085 [main] INFO  com.demo.baseutil.Basetest - Validate Enter the password is clickable
19:21:20.442 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Enter the password
19:21:20.442 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Password Id Entered
19:21:20.683 [main] INFO  com.demo.baseutil.Basetest - Admin@1234 typed into Password Id Entered
19:21:24.740 [main] INFO  com.demo.baseutil.Basetest - Scroll down
19:21:24.740 [main] INFO  com.demo.baseutil.Basetest - Validate Press the signin button is clickable
19:21:27.643 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Press the signin button
19:21:29.914 [main] INFO  com.demo.baseutil.Basetest - HomePage title  is matched
19:21:44.010 [main] INFO  com.demo.baseutil.Basetest - Scroll down
19:21:46.012 [main] INFO  com.demo.baseutil.Basetest - Validate Process is clicked is clickable
19:21:48.466 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Process is clicked
19:21:53.469 [main] INFO  com.demo.baseutil.Basetest - Validate Process add is clicked is clickable
19:21:55.851 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Process add is clicked
19:22:00.867 [main] INFO  com.demo.baseutil.Basetest - Validate Product id is clicked is clickable
