17:58:00.371 [main] INFO  com.demo.baseutil.Basetest - 
17:58:00.384 [main] INFO  com.demo.baseutil.Basetest - Running locally JavaMail
17:58:00.498 [main] INFO  com.demo.baseutil.Basetest2 - Folder creation for Extent
17:58:00.503 [main] INFO  com.demo.baseutil.Basetest - ExtentDir:-C:\Users\Deepti Jindal\eclipse-workspace2\com.NFR.Trace demo latest/reports/Automation Report- 09_12_2024_17_58_00/Report/09_12_2024_17_58_00
17:58:00.619 [main] INFO  com.demo.baseutil.Basetest - Report Initiated
17:58:00.621 [main] INFO  com.demo.baseutil.Basetest - Screenshot folder created
17:58:14.765 [main] INFO  com.demo.baseutil.Basetest - Validate Sign in with FarmtoPlate account is clickable
17:58:17.113 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Sign in with FarmtoPlate account
17:58:17.128 [main] INFO  com.demo.baseutil.Basetest - Url contains farmtoplateapps.io/login
17:58:17.138 [main] INFO  com.demo.baseutil.Basetest - Sign in title matched
17:58:17.138 [main] INFO  com.demo.baseutil.Basetest - UI verified for Sigin page.
17:58:17.138 [main] INFO  com.demo.baseutil.Basetest - Sign in function call
17:58:17.138 [main] INFO  com.demo.baseutil.Basetest - Validate email address field is clicked is clickable
17:58:19.789 [main] INFO  com.demo.baseutil.Basetest - Clicked on : email address field is clicked
17:58:19.789 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Email Id Entered
17:58:20.144 [main] INFO  com.demo.baseutil.Basetest - manufactdemo@yopmail.com typed into Email Id Entered
17:58:20.145 [main] INFO  com.demo.baseutil.Basetest - Validate Enter the password is clickable
17:58:22.425 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Enter the password
17:58:22.425 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Password Id Entered
17:58:22.633 [main] INFO  com.demo.baseutil.Basetest - Admin@1234 typed into Password Id Entered
17:58:26.715 [main] INFO  com.demo.baseutil.Basetest - Scroll down
17:58:26.715 [main] INFO  com.demo.baseutil.Basetest - Validate Press the signin button is clickable
17:58:29.495 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Press the signin button
17:58:32.691 [main] INFO  com.demo.baseutil.Basetest - HomePage title  is matched
17:58:42.705 [main] INFO  com.demo.baseutil.Basetest - Validate click on trace is clickable
17:58:45.169 [main] INFO  com.demo.baseutil.Basetest - Clicked on : click on trace
17:58:50.181 [main] INFO  com.demo.baseutil.Basetest - Scroll till the transaction is scrolled
17:58:50.306 [main] INFO  com.demo.baseutil.Basetest - Scroll till the transaction is scrolled completed
17:58:50.306 [main] INFO  com.demo.baseutil.Basetest - Validate transaction is clicked is clickable
17:58:52.886 [main] INFO  com.demo.baseutil.Basetest - Clicked on : transaction is clicked
17:58:57.896 [main] INFO  com.demo.baseutil.Basetest - Validate add new is clicked is clickable
17:59:00.384 [main] INFO  com.demo.baseutil.Basetest - Clicked on : add new is clicked
17:59:05.388 [main] INFO  com.demo.baseutil.Basetest - Validate sharedproduct is clicked is clickable
17:59:07.785 [main] INFO  com.demo.baseutil.Basetest - Clicked on : sharedproduct is clicked
17:59:12.795 [main] INFO  com.demo.baseutil.Basetest - Validate Product id is clicked is clickable
17:59:15.219 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Product id is clicked
17:59:17.498 [main] INFO  com.demo.baseutil.Basetest - Validate Productselect is clicked is clickable
17:59:20.813 [main] INFO  com.demo.baseutil.Basetest - Clicked on : Productselect is clicked
17:59:22.814 [main] INFO  com.demo.baseutil.Basetest - Validate chooseprocess id is clicked is clickable
17:59:25.220 [main] INFO  com.demo.baseutil.Basetest - Clicked on : chooseprocess id is clicked
17:59:27.231 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Harvestiong/commission is entered
17:59:27.592 [main] INFO  com.demo.baseutil.Basetest - disagg typed into Harvestiong/commission is entered
17:59:32.599 [main] INFO  com.demo.baseutil.Basetest - Validate process is selected is clickable
17:59:35.024 [main] INFO  com.demo.baseutil.Basetest - Clicked on : process is selected
17:59:41.033 [main] INFO  com.demo.baseutil.Basetest - Validate activity is selected is clickable
17:59:43.485 [main] INFO  com.demo.baseutil.Basetest - Clicked on : activity is selected
17:59:43.485 [main] INFO  com.demo.baseutil.Basetest - Enter the value into activity Value is entered
17:59:43.802 [main] INFO  com.demo.baseutil.Basetest - abcd typed into activity Value is entered
17:59:43.802 [main] INFO  com.demo.baseutil.Basetest - Scroll till the scrolled to sscc1
17:59:43.870 [main] INFO  com.demo.baseutil.Basetest - Scroll till the scrolled to sscc1 completed
17:59:43.870 [main] INFO  com.demo.baseutil.Basetest - Validate sscc1 is selected is clickable
17:59:46.127 [main] INFO  com.demo.baseutil.Basetest - Clicked on : sscc1 is selected
17:59:46.130 [main] INFO  com.demo.baseutil.Basetest - Enter the value into sscc Value is entered
17:59:46.417 [main] INFO  com.demo.baseutil.Basetest - 30012092410000010 typed into sscc Value is entered
17:59:46.417 [main] INFO  com.demo.baseutil.Basetest - Validate sscc arrow is selected is clickable
17:59:48.731 [main] INFO  com.demo.baseutil.Basetest - Clicked on : sscc arrow is selected
17:59:54.740 [main] INFO  com.demo.baseutil.Basetest - Scroll till the scrolled to document
17:59:54.861 [main] INFO  com.demo.baseutil.Basetest - Scroll till the scrolled to document completed
17:59:57.877 [main] INFO  com.demo.baseutil.Basetest - Validate document is clicked is clickable
18:00:00.222 [main] INFO  com.demo.baseutil.Basetest - Clicked on : document is clicked
18:00:00.223 [main] INFO  com.demo.baseutil.Basetest - Enter the value into document is entered
18:00:00.467 [main] INFO  com.demo.baseutil.Basetest - 1234567 typed into document is entered
18:00:02.471 [main] INFO  com.demo.baseutil.Basetest - Validate bill is clicked is clickable
18:00:04.789 [main] INFO  com.demo.baseutil.Basetest - Clicked on : bill is clicked
18:00:04.789 [main] INFO  com.demo.baseutil.Basetest - Enter the value into purchase is entered
18:00:05.082 [main] INFO  com.demo.baseutil.Basetest - 12345 typed into purchase is entered
18:00:07.091 [main] INFO  com.demo.baseutil.Basetest - Validate product descriptiom is clicked is clickable
18:00:09.488 [main] INFO  com.demo.baseutil.Basetest - Clicked on : product descriptiom is clicked
18:00:09.488 [main] INFO  com.demo.baseutil.Basetest - Enter the value into Product desc is entered
18:00:09.802 [main] INFO  com.demo.baseutil.Basetest - abcd typed into Product desc is entered
18:00:11.823 [main] INFO  com.demo.baseutil.Basetest - Validate remarks is clicked is clickable
18:00:14.172 [main] INFO  com.demo.baseutil.Basetest - Clicked on : remarks is clicked
18:00:16.177 [main] INFO  com.demo.baseutil.Basetest - Enter the value into remarks is entered
18:00:16.428 [main] INFO  com.demo.baseutil.Basetest - test typed into remarks is entered
18:00:20.450 [main] INFO  com.demo.baseutil.Basetest - Scroll till the remarks area is scroll
18:00:20.576 [main] INFO  com.demo.baseutil.Basetest - Scroll till the remarks area is scroll completed
18:00:20.577 [main] INFO  com.demo.baseutil.Basetest - Validate remarks is clicked is clickable
